Zutat,Lagerbestand (ml),,Lagerbestand in Flaschen (à 700ml),Einkaufspreis pro Liter (EUR),Soll-Lagerbestand in Flaschen für 50 Drinks,,
Havana Club 3 Años Rum,3300,,"3,81",5,5500,"7,86",1
Limettensaft,6000,,"2,55",27,6000,"28,93",12
Sodawasser,300,,"2,07",16,12500,"17,86",12
Gosling's Black Seal Rum,2800,,"3,57",,2500,"3,57",1
Ingwerbier,12000,,"7,14",,5000,"7,14",6
Mount Gay Eclipse Rum,2700,,"1,86",2,2500,"3,57",1
Feigensirup,1500,,"1,37",1,1000,"1,43",2
Angostura,198,,"0,28",,50,"0,07",
Plantation Original Dark Rum,3100,,0,7,4500,"6,43",2
Bananenlikör,500,,"0,47",1,1000,"1,43",1
Passoa,900,,"2,26",,1000,"1,43",1
Maracujasaft,29480,,"42,11",,8000,"11,43",8
Kokoscreme,700,,"1,54",,1000,"1,43",1
Sahne,200,,"2,6",,1500,"2,14",10
Holunderblütenlikör,1200,,"1,23",1,1000,"1,43",1
Ahornsirup,0,,"0,19",2,1250,"1,79",1
Apfelsaft,10580,,"15,11",,7000,10,6
Rhubarb Gin von Whitley Neill,1400,,"1,64",2,2500,"3,57",3
Zuckersirup,3800,,"2,46",4,4500,"6,43",1
Eiweiß,600,,"3,56",,50,"0,07",
Hendrick’s Gin,1900,,2,2,2500,"3,57",
Beefeater London Garden Gin,3500,,"0,79",3,2500,"3,57",
Cointreau,700,,"2,11",1,2000,"2,86",1
Ananassaft,8000,,"13,91",,4000,"5,71",6
The Botanist Gin,2100,,2,2,2500,"3,57",3
Matcha Green Tea Sirup,1500,,"1,21",1,1250,"1,79",1
Vanille Sirup,1000,,"0,57",1,500,"0,71",
Grüner Tee,200,,"0,29",6,4000,"5,71",
Plymouth Gin,500,,"0,89",1,1250,"1,79",1
Grüner Chartreuse,700,,"0,89",1,1250,"1,79",2
Maraschino-Likör,500,,"0,63",1,1250,"1,25",2
9 Mile Vodka,2100,,"6,64",1,2500,"3,57",2
Weissburgunder,2100,,"14,29",,10000,"14,29",
Dornfelder,2100,,"14,29",,10000,"14,29",
Cola,18000,,"24,65",21,45000,45,
Cola Zero,15000,,"23,1",2,25000,25,
Radeberger Pils,0,,"9,43",12,15000,"21,43",
Radeberger Pils Alkoholfrei,0,,"8,57",13,15000,"21,43",
Fanta,3000,,15,,15000,15,
Sprite,1000,,15,,27500,"27,5",
Appleton Estate Reserve Blend,1400,,"0,83",2,1500,"2,14",
Worthy Park Estate 109 (Overproof Rum),4900,,,,5500,"7,86",
Botocal,700,,,,0,0,
Ardbeg Ten Whisky,300,,"0,93",,500,"0,71",
Glenmorangie Whisky,900,,"0,71",3,2000,"2,86",
Amarula,1400,,,,0,0,
Beefeater London Garden,0,,,,0,0,
Erdbeer-Rum,500,,,,2500,"3,57",
Tequila,2500,,,,2500,"3,57",
Aperol,0,,,,3000,"4,29",
Kaluha,700,,,,0,0,
Rharbarbersirup,2000,,"1,81",,750,"1,07",
Käsekuchenlikör,1000,,"0,39",2,1500,"2,14",
Laori Aperol,3000,,,,3000,"4,29",
Freikopf Gin,250,,,,3000,"4,29",
Freikopf Pink Lillet,250,,,,3000,"4,29",
Curacao Orange,340,,"0,49",1,750,"1,07",
Don Papa rot,1300,,"0,87",2,1500,"2,14",
Don Papa grün,1300,,"0,96",2,1500,"2,14",
Pfirsichlikör,700,,,,0,0,
O Donnell Moonshine Hart Nuss,700,,,,3000,"4,29",
O Donnell Moonshine Toffee,700,,,,3000,"4,29",
Erdbeersirup,1365,,"1,95",1,2000,"2,86",
Pfirsichsirup,1000,,,,0,0,
Falernum,2000,,"2,46",,750,"1,07",
Grenadine,1700,,,,0,0,
Bitter,1000,,,,0,0,
Pitu,2300,,,,0,0,
Likör 43,300,,0,3,2000,2,
Jack Daniel's Tennessee Whiskey,2400,,0,4,2500,"3,57",
Buffalo Trace Bourbon,1000,,"0,43",4,2500,"3,57",
Bullet burbon,2800,,,,0,0,
Woodford Reserve Whiskey,2100,,,,2500,"3,57",
Smith and cross,1400,,,,0,0,
Scavi & Ray Prosecco,0,,,,4500,"6,43",
Pink Grapefruit limo,6000,,,,0,0,
Schweppes Wild Berry,11900,,17,,5000,"7,14",
Wild berry zero,6000,,,,10000,"14,29",
Schweppes Tonic Water,7000,,,,0,0,
Thomas Henry Tonic Zero,12000,,,,10000,"14,29",
Ginger Ale,11500,,"16,43",16,22500,"32,14",
Orangensaft,2000,,"11,26",,3000,"4,29",
Milch,0,,"6,51",,2000,"2,86",
Smith & Cross Traditional Jamaica Rum,1400,,"0,83",2,1500,"2,14",
Overproof Rum,460,,"0,66",1,500,"0,71",
Mandelsirup (Orgeat),460,,"0,66",1,500,"0,71",
Lillet Blanc,750,,"4,21",,2500,"3,57",
Pink Grapefruit Limonade,1000,,,,7500,"10,71",
Kölsch,0,,9,13,15000,"21,43",
Scheidgen Zero Sekt,0,,,,10000,"14,29",
Captain Morgan Zero Rum,1000,,,,3000,"4,29",
Triple Sec,1400,,,,,,
